Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521459743119;57;,00
E_AES_192_CBC_200_PKCS5Padding_1521459743119;87;,00
E_AES_256_CBC_200_PKCS5Padding_1521459743119;70;,00
E_AES_128_CBC_200_ZeroBytePadding_1521459743119;80;1,00
E_AES_192_CBC_200_ZeroBytePadding_1521459743119;42;,00
E_AES_256_CBC_200_ZeroBytePadding_1521459743119;44;,00
E_AES_128_ECB_200_PKCS5Padding_1521459743119;70;,00
E_AES_192_ECB_200_PKCS5Padding_1521459743119;62;1,00
E_AES_256_ECB_200_PKCS5Padding_1521459743119;64;,00
E_AES_128_ECB_200_ZeroBytePadding_1521459743119;83;1,00
E_AES_192_ECB_200_ZeroBytePadding_1521459743119;80;,00
E_AES_256_ECB_200_ZeroBytePadding_1521459743119;57;1,00
