Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521627419541;65;,00
E_AES_192_CBC_200_PKCS5Padding_1521627419541;73;,00
E_AES_256_CBC_200_PKCS5Padding_1521627419541;83;,00
E_AES_128_CBC_200_ZeroBytePadding_1521627419541;39;,00
E_AES_192_CBC_200_ZeroBytePadding_1521627419541;70;,00
E_AES_256_CBC_200_ZeroBytePadding_1521627419541;65;1,00
E_AES_128_ECB_200_PKCS5Padding_1521627419541;68;,00
E_AES_192_ECB_200_PKCS5Padding_1521627419541;41;,00
E_AES_256_ECB_200_PKCS5Padding_1521627419541;77;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521627419541;74;,00
E_AES_192_ECB_200_ZeroBytePadding_1521627419541;58;,00
E_AES_256_ECB_200_ZeroBytePadding_1521627419541;126;6,00
