Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521448323153;47;,00
D_AES_192_CBC_200_PKCS5Padding_1521448323153;50;1,00
D_AES_256_CBC_200_PKCS5Padding_1521448323153;77;,00
D_AES_128_CBC_200_ZeroBytePadding_1521448323153;59;1,00
D_AES_192_CBC_200_ZeroBytePadding_1521448323153;56;,00
D_AES_256_CBC_200_ZeroBytePadding_1521448323153;76;1,00
D_AES_128_ECB_200_PKCS5Padding_1521448323153;47;,00
D_AES_192_ECB_200_PKCS5Padding_1521448323153;73;1,00
D_AES_256_ECB_200_PKCS5Padding_1521448323153;79;1,00
D_AES_128_ECB_200_ZeroBytePadding_1521448323153;38;,00
D_AES_192_ECB_200_ZeroBytePadding_1521448323153;73;,00
D_AES_256_ECB_200_ZeroBytePadding_1521448323153;83;1,00
