Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521409512759;62;1,00
E_AES_192_CBC_200_PKCS5Padding_1521409512759;81;,00
E_AES_256_CBC_200_PKCS5Padding_1521409512759;77;1,00
E_AES_128_CBC_200_ZeroBytePadding_1521409512759;68;,00
E_AES_192_CBC_200_ZeroBytePadding_1521409512759;62;1,00
E_AES_256_CBC_200_ZeroBytePadding_1521409512759;68;,00
E_AES_128_ECB_200_PKCS5Padding_1521409512759;82;1,00
E_AES_192_ECB_200_PKCS5Padding_1521409512759;72;,00
E_AES_256_ECB_200_PKCS5Padding_1521409512759;74;,00
E_AES_128_ECB_200_ZeroBytePadding_1521409512759;77;1,00
E_AES_192_ECB_200_ZeroBytePadding_1521409512759;44;,00
E_AES_256_ECB_200_ZeroBytePadding_1521409512759;69;1,00
