Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521404916447;29;1,00
E_AES_192_CBC_200_PKCS5Padding_1521404916447;107;1,00
E_AES_256_CBC_200_PKCS5Padding_1521404916447;74;,00
E_AES_128_CBC_200_ZeroBytePadding_1521404916447;69;1,00
E_AES_192_CBC_200_ZeroBytePadding_1521404916447;53;,00
E_AES_256_CBC_200_ZeroBytePadding_1521404916447;50;,00
E_AES_128_ECB_200_PKCS5Padding_1521404916447;81;,00
E_AES_192_ECB_200_PKCS5Padding_1521404916447;23;2,00
E_AES_256_ECB_200_PKCS5Padding_1521404916447;64;,00
E_AES_128_ECB_200_ZeroBytePadding_1521404916447;79;,00
E_AES_192_ECB_200_ZeroBytePadding_1521404916447;63;,00
E_AES_256_ECB_200_ZeroBytePadding_1521404916447;67;,00
