Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521409607464;71;,00
D_AES_192_CBC_200_PKCS5Padding_1521409607464;53;,00
D_AES_256_CBC_200_PKCS5Padding_1521409607464;47;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521409607464;90;,00
D_AES_192_CBC_200_ZeroBytePadding_1521409607464;70;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521409607464;72;,00
D_AES_128_ECB_200_PKCS5Padding_1521409607464;73;,00
D_AES_192_ECB_200_PKCS5Padding_1521409607464;60;1,00
D_AES_256_ECB_200_PKCS5Padding_1521409607464;74;,00
D_AES_128_ECB_200_ZeroBytePadding_1521409607464;71;,00
D_AES_192_ECB_200_ZeroBytePadding_1521409607464;82;1,00
D_AES_256_ECB_200_ZeroBytePadding_1521409607464;61;,00
