Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521448205420;19;1,00
E_AES_192_CBC_200_PKCS5Padding_1521448205420;57;,00
E_AES_256_CBC_200_PKCS5Padding_1521448205420;74;,00
E_AES_128_CBC_200_ZeroBytePadding_1521448205420;96;,00
E_AES_192_CBC_200_ZeroBytePadding_1521448205420;74;,00
E_AES_256_CBC_200_ZeroBytePadding_1521448205420;47;,00
E_AES_128_ECB_200_PKCS5Padding_1521448205420;83;,00
E_AES_192_ECB_200_PKCS5Padding_1521448205420;53;,00
E_AES_256_ECB_200_PKCS5Padding_1521448205420;82;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521448205420;72;,00
E_AES_192_ECB_200_ZeroBytePadding_1521448205420;48;,00
E_AES_256_ECB_200_ZeroBytePadding_1521448205420;81;1,00
