Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521406733914;92;,00
D_AES_192_CBC_200_PKCS5Padding_1521406733914;63;1,00
D_AES_256_CBC_200_PKCS5Padding_1521406733914;83;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521406733914;48;,00
D_AES_192_CBC_200_ZeroBytePadding_1521406733914;57;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521406733914;57;,00
D_AES_128_ECB_200_PKCS5Padding_1521406733914;46;1,00
D_AES_192_ECB_200_PKCS5Padding_1521406733914;93;,00
D_AES_256_ECB_200_PKCS5Padding_1521406733914;32;2,00
D_AES_128_ECB_200_ZeroBytePadding_1521406733914;93;1,00
D_AES_192_ECB_200_ZeroBytePadding_1521406733914;44;1,00
D_AES_256_ECB_200_ZeroBytePadding_1521406733914;62;1,00
