Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521407521183;58;,00
D_AES_192_CBC_200_PKCS5Padding_1521407521183;69;,00
D_AES_256_CBC_200_PKCS5Padding_1521407521183;61;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521407521183;66;,00
D_AES_192_CBC_200_ZeroBytePadding_1521407521183;81;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521407521183;73;,00
D_AES_128_ECB_200_PKCS5Padding_1521407521183;43;1,00
D_AES_192_ECB_200_PKCS5Padding_1521407521183;62;,00
D_AES_256_ECB_200_PKCS5Padding_1521407521183;41;1,00
D_AES_128_ECB_200_ZeroBytePadding_1521407521183;90;2,00
D_AES_192_ECB_200_ZeroBytePadding_1521407521183;65;,00
D_AES_256_ECB_200_ZeroBytePadding_1521407521183;64;1,00
