Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521447592643;36;4,00
E_AES_192_CBC_200_PKCS5Padding_1521447592643;97;4,00
E_AES_256_CBC_200_PKCS5Padding_1521447592643;61;3,00
E_AES_128_CBC_200_ZeroBytePadding_1521447592643;87;2,00
E_AES_192_CBC_200_ZeroBytePadding_1521447592643;72;2,00
E_AES_256_CBC_200_ZeroBytePadding_1521447592643;80;2,00
E_AES_128_ECB_200_PKCS5Padding_1521447592643;72;1,00
E_AES_192_ECB_200_PKCS5Padding_1521447592643;71;,00
E_AES_256_ECB_200_PKCS5Padding_1521447592643;41;,00
E_AES_128_ECB_200_ZeroBytePadding_1521447592643;60;3,00
E_AES_192_ECB_200_ZeroBytePadding_1521447592643;37;1,00
E_AES_256_ECB_200_ZeroBytePadding_1521447592643;70;,00
