Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521627507107;55;,00
E_AES_192_CBC_200_PKCS5Padding_1521627507107;39;,00
E_AES_256_CBC_200_PKCS5Padding_1521627507107;77;1,00
E_AES_128_CBC_200_ZeroBytePadding_1521627507107;62;,00
E_AES_192_CBC_200_ZeroBytePadding_1521627507107;39;,00
E_AES_256_CBC_200_ZeroBytePadding_1521627507107;70;1,00
E_AES_128_ECB_200_PKCS5Padding_1521627507107;73;,00
E_AES_192_ECB_200_PKCS5Padding_1521627507107;75;,00
E_AES_256_ECB_200_PKCS5Padding_1521627507107;70;,00
E_AES_128_ECB_200_ZeroBytePadding_1521627507107;72;,00
E_AES_192_ECB_200_ZeroBytePadding_1521627507107;75;1,00
E_AES_256_ECB_200_ZeroBytePadding_1521627507107;97;1,00
