Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521449660958;53;1,00
E_AES_192_CBC_200_PKCS5Padding_1521449660958;64;,00
E_AES_256_CBC_200_PKCS5Padding_1521449660958;82;,00
E_AES_128_CBC_200_ZeroBytePadding_1521449660958;86;,00
E_AES_192_CBC_200_ZeroBytePadding_1521449660958;81;,00
E_AES_256_CBC_200_ZeroBytePadding_1521449660958;70;1,00
E_AES_128_ECB_200_PKCS5Padding_1521449660958;65;,00
E_AES_192_ECB_200_PKCS5Padding_1521449660958;19;,00
E_AES_256_ECB_200_PKCS5Padding_1521449660958;73;,00
E_AES_128_ECB_200_ZeroBytePadding_1521449660958;67;,00
E_AES_192_ECB_200_ZeroBytePadding_1521449660958;55;,00
E_AES_256_ECB_200_ZeroBytePadding_1521449660958;54;1,00
