Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521460022403;39;,00
D_AES_192_CBC_200_PKCS5Padding_1521460022403;43;,00
D_AES_256_CBC_200_PKCS5Padding_1521460022403;72;,00
D_AES_128_CBC_200_ZeroBytePadding_1521460022403;51;1,00
D_AES_192_CBC_200_ZeroBytePadding_1521460022403;76;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521460022403;56;,00
D_AES_128_ECB_200_PKCS5Padding_1521460022403;53;,00
D_AES_192_ECB_200_PKCS5Padding_1521460022403;41;1,00
D_AES_256_ECB_200_PKCS5Padding_1521460022403;90;1,00
D_AES_128_ECB_200_ZeroBytePadding_1521460022403;67;1,00
D_AES_192_ECB_200_ZeroBytePadding_1521460022403;71;1,00
D_AES_256_ECB_200_ZeroBytePadding_1521460022403;66;1,00
